title,abstract,cited,rigor,novelty,grammar,replicability,accessibility,mathematics,computer_sciences,physical_sciences,chemical_sciences,earth_and_related_sciences,biological_sciences,other_natural_sciences,civil_engineering,electrical_engineering,mechanical_engineering,chemical_engineering,materials_engineering,environmental_engineering,evironmental_biotechnology,industrial_biotechnology,nano-technology,other_engineering_and_technologies,basic_medicine,clinical_medicine,health_sciences,medical_biotechnology,other_medical_sciences,agriculture_forestry_and_fisheries,animal_and_dairy_science,veterinary_science,agricultural_biotechnology,other_agricultural_sciences,psychology,economics_and_business,education,sociology,law,political_science,social_and_economic_geography,media_and_communications,other_social_sciences,history_and_archaeology,languages_and_literature,philosophy_ethics_and_religion,arts,other_humanities_and_the_arts,applied_research,conclusive_research,correlational_research,descriptive_research,ethnographic_research,experiment,exploratory_research,focus_groups,interviews,mixed_methods,observation,qualitative_research,quantitative_research,questionnaires,secondary_research,survey_methodology
Internet of Medical Things: An Effective and Fully Automatic IoT Approach Using Deep Learning and Fine-Tuning to Lung CT Segmentation,"Several pathologies have a direct impact on society, causing public health problems. Pulmonary diseases such as Chronic obstructive pulmonary disease (COPD) are already the third leading cause of death in the world, leaving tuberculosis at ninth with 1.7 million deaths and over 10.4 million new occurrences. The detection of lung regions in images is a classic medical challenge. Studies show that computational methods contribute significantly to the medical diagnosis of lung pathologies by Computerized Tomography (CT), as well as through Internet of Things (IoT) methods based in the context on the health of things. The present work proposes a new model based on IoT for classification and segmentation of pulmonary CT images, applying the transfer learning technique in deep learning methods combined with Parzen’s probability density. The proposed model uses an Application Programming Interface (API) based on the Internet of Medical Things to classify lung images. The approach was very effective, with results above 98% accuracy for classification in pulmonary images. Then the model proceeds to the lung segmentation stage using the Mask R-CNN network to create a pulmonary map and use fine-tuning to find the pulmonary borders on the CT image. The experiment was a success, the proposed method performed better than other works in the literature, reaching high segmentation metrics values such as accuracy of 98.34%. Besides reaching 5.43 s in segmentation time and overcoming other transfer learning models, our methodology stands out among the others because it is fully automatic. The proposed approach has simplified the segmentation process using transfer learning. It has introduced a faster and more effective method for better-performing lung segmentation, making our model fully automatic and robust.",0,high,high,0,1,high,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Psychotherapie auf Distanz in Österreich während COVID‑19. Zusammenfassung der bisher publizierten Ergebnisse von drei Onlinebefragungen,"The Danube University Krems, in cooperation with the Austrian Federal Association for Psychotherapy, conducted three online surveys to investigate remote psychotherapy in Austria during the COVID-19 pandemic. This article summarizes the so far published results of these surveys. A total of 1547 psychotherapists took part in the first online survey, which was conducted in the first weeks of the first COVID-19 lockdown in Austria. The results showed that psychotherapists increasingly replaced psychotherapy in personal contact with psychotherapy at a distance (telephone or internet) during the lockdown. Increased stress level and job-related worries were mainly reported by psychotherapists who were financially reliant on the income gained from psychotherapy. The experiences with psychotherapy at a distance were described as more positively than previously expected. Nonetheless, psychotherapy at a distance was viewed as not fully comparable to face-to-face psychotherapy sessions. In a second survey, which was conducted after the first lockdown ended (summer 2020), 222 Austrian psychotherapists participated. The aim of this survey was to examine the change in treatment format (personal to digital or digital to personal) more closely. At the same time as the second survey, a third online survey was carried out in which 139 patients of the 222 Austrian psychotherapists took part in order to examine the patients’ perspective on changing the treatment format. First results show that psychotherapists and patients experienced a difference in terms of the therapeutic interventions used when changing the treatment format. Moreover, the subjective meaning of different areas of life was changed in the COVID-19 pandemic compared to the time before COVID-19. The evaluations to date show that the COVID-19 pandemic has a significant impact on the psychotherapeutic practice in Austria. Further quantitative and qualitative evaluations of the data will provide even more in-depth knowledge.",0,medium,medium,0,0,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Foreseeable Future of Digital Fashion Communication After Coronavirus: Designing for Emotions,"The coronavirus pandemic brought the world to a halt and its impact on the fashion industry was significant. Moreover, consumer behavior and media consumption habits changed due to social distancing measures and as a consequence, the importance of digital channels was highlighted. Brands were forced to rethink their strategies and address consumers’ needs. This paper presents an overview of the subject by examining how fashion brands adapted the communication strategies in the digital space to reach their audiences in a meaningful way. Furthermore, it delves into the consumer shifts and into the role of digital channels, to understand how they might shape the future. The findings of the study suggest that during the crisis, fashion brands focused on people’s well-being and published content aimed to inspire, motivate, and entertain. Furthermore, it reports technology as a path for innovation for its contribution to improving online shopping experiences. A reflection on the theme also revealed that emotions are central to fashion strategies, and they can be used further to elevate communication.",0,medium,high,0,0,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Prediction of fluid responsiveness in mechanically ventilated patients in surgical intensive care unit by pleth variability index and inferior vena cava diameter,"BACKGROUND: Patients may have signs of hypovolemia, but fluid administration is not always beneficial. We are in need of bedside devices and techniques, which can predict fluid responsiveness effectively and safely. This study is aiming to compare the effectiveness and reliability of the pleth variability index (PVI) and IVC distensibility index (dIVC) as predictors of fluid responsiveness by simultaneous recordings in all sedated mechanically ventilated patients in the surgical intensive care unit (ICU). We used the passive leg raising test (PLR) as a harmless reversible technique for fluid challenge, and patients were considered responders if the cardiac index (CI) measured by transthoracic echocardiography (TTE) increased ≥ 15% after passive leg raising test (PLR). RESULTS: This observational cross-sectional study was performed randomly on 88 intubated ventilated sedated patients. Compared with CI measured by transthoracic echocardiography, the dIVC provided 79.17% sensitivity and 80% specificity at a threshold value of > 19.42% for fluid responsiveness prediction and was statistically significant (P < .0001), with an area under the curve (AUC) of 0.886 (0.801–0.944), while PVI at a threshold value of > 14% provided 93.75% sensitivity and 87.5% specificity and was statistically significant (P < .0001), with an AUC of 0.969 (0.889–0.988). CONCLUSION: PVI and dIVC are effective non-invasive bedside methods for the assessment of fluid responsiveness in ICU for intubated ventilated sedated patients with sinus rhythm, but PVI has the advantage of being continuous, operator-independent, and more reliable than dIVC.",0,high,high,0,1,high,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1
Mycoplasma pneumoniae: Usual suspect and unsecured Diagnosis in the acute setting,"Mycoplasma pneumoniae is one of the most common known bacterial pathogens of the respiratory tract, especially in patients between 5 and 30 years of age. It may be encountered at a relatively high rate in the non-life-threatened fraction of Emergency Department (ED) patients presenting with upper respiratory symptoms or cough. Yet its hallmarks are very non-specific, including a great variety of presentations from mild pharyngitis to potentially life-threatening complications such as the Stevens-Johnson Syndrome. Here, we describe a typical case of pneumonia due to Mycoplasma pneumoniae in a young adult with mild pharyngitis as the leading symptom. Disease presentation, complications, diagnostic means, therapeutic options, and suspicious clinical settings are discussed to provide a review on the clinical aspects of the disease that are important in the ED setting.",0,medium,low,0,0,medium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Towards a passive limitation of particle surface contamination in the Columbus module (ISS) during the MATISS experiment of the Proxima Mission,"Future long-duration human spaceflight calls for developments to limit biocontamination of the surface habitats. The MATISS experiment tests surface treatments in the ISS’s atmosphere. Four sample holders were mounted with glass lamella with hydrophobic coatings, and exposed in the Columbus module for ~6 months. About 7800 particles were detected by tile scanning optical microscopy (×3 and ×30 magnification) indicating a relatively clean environment (a few particles per mm(2)), but leading to a significant coverage-rate (>2% in 20 years). Varied shapes were displayed in the coarse (50–1500 µm(2)) and fine (0.5–50 µm(2)) area fractions, consistent with scale dices (tissue or skin) and microbial cells, respectively. The 200–900 µm(2) fraction of the coarse particles was systematically higher on FDTS and SiOCH than on Parylene, while the opposite was observed for the <10 µm(2) fraction of the fine particles. This trend suggests two biocontamination sources and a surface deposition impacted by hydrophobic coatings.",0,high,high,0,0,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The role of dysregulated immune responses in COVID-19 pathogenesis,"The coronavirus disease-2019 (COVID-19) which caused by severe acute respiratory syndrome-related coronavirus (SARS-CoV-2), is a pandemic threat to global public health. It has a wide spectrum of clinical manifestations from mild to critical illness, the most serious of which is the complications of acute respiratory distress syndrome (ARDS). SARS-CoV-2 infection appears mild in infants and children, however, in adults, it can lead to serious consequences. In this review, we highlighted the differences between the immune responses of the lung in children and adults, immune dysregulation and their possible role in clinical manifestations in COVID-19. There is a reduction in population of immunocompetent cells during aging and subsequently induced ineffective inflammation in the faces of some infections. Dysregulation in the immune system can lead to an unappropriated local and systemic immune responses and subsequently the rapid spread of the virus, leading to severe COVID-19 disease. Therefore, recognizing the differences in the immune responses of various hosts as well as to improve the immune system disorder should always be part of research and treatment protocols.",0,medium,high,0,0,high,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evaluation of antiviral - passive - active immunization (“sandwich”) therapeutic strategy for functional cure of chronic hepatitis B in mice,"BACKGROUND: Chronic Hepatitis B (CHB) remains a major problem for global public health. Viral persistence and immune defects are the two major reasons for CHB, and it was hypothesized that based on a transient clearance of serum viral DNA and HBsAg “window stage”, active immunization against hepatitis B virus (HBV) might initiate effective host immune responses versus HBV to achieve functional cure of CHB. METHODS: Two experimental mouse models that mice hydrodynamic injected HBV DNA or infected with recombinant AAV/HBV were used. The “sandwich” therapeutic effect by using a potent human anti-HBsAg neutralizing monoclonal antibody (G12) in combination with antiviral drug tenofovir disoproxil fumarate (TDF), followed by active immunization with HBsAg-HBsAb (mYIC) was evaluated. FINDINGS: A single G12 injection rapidly cleared serum HBsAg in HDI-HBV carrier mice, with a synergistic effect in decreasing viral DNA load when TDF was given orally. When both serum viral DNA and HBsAg load became low or undetectable, mYIC was administered. A more effective clearance of viral DNA and HBsAg was observed and serum HBsAb was developed only in these “sandwich”-treated mice. Efficient intrahepatic anti-HBV immune responses were also observed in these mice, including the formation of aggregates of myeloid cells with CD8(+)T cells and increased TNF-α, granzyme B production. INTERPRETATION: The “sandwich” combination therapy not only efficiently decreased HBsAg and HBV DNA levels but also induced effective cellular and humoral immunity, which may result in functional cure of CHB.",0,high,high,0,1,high,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1
Antiviral Agents: Discovery to Resistance,"In the midst of the SARS-CoV-2/Covid-19 outbreak the need for research into, and development of, antiviral agents is brought into sharp focus worldwide for scientists, governments and the public alike [...].",0,medium,high,1,0,high,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Serologic and behavioral risk survey of workers with wildlife contact in China,"We report on a study conducted in Guangdong Province, China, to characterize behaviors and perceptions associated with transmission of pathogens with pandemic potential in highly exposed human populations at the animal-human interface. A risk factor/exposure survey was administered to individuals with high levels of exposure to wildlife. Serological testing was performed to evaluate prior infection with several wildlife viral pathogens. Follow up serology was performed on a subset of the cohort as well as close contacts of individuals. 1,312 individuals were enrolled in the study. Contact with a wide range of wildlife species was reported in both occupational and occasional contexts. The overall proportion of individuals seropositive to any of the tested wildlife pathogens was approximately 4.0%. However, persons employed as butchers demonstrated a seropositivity of 9.0% to at least one pathogen of interest. By contrast, individuals working as hunters had lower rates of seropositivity. Among the study population, a number of other behaviors showed correlation with seropositivity, including contact with particular wildlife species such as field rats. These results demonstrate the need to further explore zoonotic risks of particular activities regarding wildlife contact, and to better understand risks of persons working as butchers with wildlife species.",0,medium,medium,0,0,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moving Beyond Lewis: Employment and Wage Trends in China’s High- and Low-Skilled Industries and the Emergence of an Era of Polarization: Presidential Address for the 2020 Association for Comparative Economic Studies Meetings,"One of the defining features of China’s economy over the two decades between 1995 and 2015 was the persistent rise of wages for workers and professionals in nearly every segment of the economy—with wage rates for labor-intensive jobs in manufacturing, construction, and the informal service sector rising the fastest. Recently, however, the economic environment in China has begun to change, including changes in both employment and wages. We identify recent employment/wage trends throughout China’s economy and postulate the sources of these trends as well as possible future consequences if they continue. We use official, nationally aggregated data to examine employment and wages in multiple sectors and industries. Our findings indicate that China may have entered a new phase of economic development in the mid-2010s. According to the data, in recent years, wage growth has begun to polarize: Rising for professionals employed in formal skill-intensive industries; and falling for workers in the informal labor-intensive service sector. We attribute this increase in skill-intensive wages to an increase in demand for skill-intensive employment, due to the emergence of a large middle class in China, for whom the demand for high technology, finance, banking, health, and higher education industries is increasing while, at least in the recent short term, the supply of experienced, high-skilled professionals has not kept up. The employment/wage trend in the informal (low-wage) service sector, however, is following a different pattern. While there is a rising demand for services in China’s economy, the growth, due to a number of factors (e.g., large shares of GDP targeted by policymakers to investment; high rates of savings by consumers), is relatively slow. In contrast, due to a number of economic forces, including globalization and automation, the supply of labor into the service sector of the informal economy is being fueled by the flow of labor out of manufacturing and construction (two industries that that have experienced employment declines since 2013). These supply and demand trends, in turn, are leading to the fall in the growth rate of wages in the informal service sector. We conclude by discussing the possible longer-term consequences of these emerging polarization trends based on an examination of recent experience with wage polarization occurring in both middle- and high-income countries, as well as its consequences. We also present policy recommendations for greater investment in education and human capital, as well as for the development of a more comprehensive set of social safety nets for different segments of China’s population.",0,high,high,0,1,high,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
Comparative Analysis of Time Series Databases in the Context of Edge Computing for Low Power Sensor Networks,"Selection of an appropriate database system for edge IoT devices is one of the essential elements that determine efficient edge-based data analysis in low power wireless sensor networks. This paper presents a comparative analysis of time series databases in the context of edge computing for IoT and Smart Systems. The research focuses on the performance comparison between three time-series databases: TimescaleDB, InfluxDB, Riak TS, as well as two relational databases, PostgreSQL and SQLite. All selected solutions were tested while being deployed on a single-board computer, Raspberry Pi. For each of them, the database schema was designed, based on a data model representing sensor readings and their corresponding timestamps. For performance testing, we developed a small application that was able to simulate insertion and querying operations. The results of the experiments showed that for presented scenarios of reading data, PostgreSQL and InfluxDB emerged as the most performing solutions. For tested insertion scenarios, PostgreSQL turned out to be the fastest. Carried out experiments also proved that low-cost, single-board computers such as Raspberry Pi can be used as small-scale data aggregation nodes on edge device in low power wireless sensor networks, that often serve as a base for IoT-based smart systems.",0,high,high,0,1,high,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Healthcare needs of vulnerable patient groups: available data and existing gaps in Germany with respect to long-term mechanical ventilation,"AIM: Long-term invasively ventilated patients exhibit exceptional and resource-intensive healthcare needs. However, major knowledge gaps in Germany complicate appropriate approaches to best address these demands. This paper evaluates available information on the patient group and their healthcare needs from German data sources and derives implications for healthcare planning and regulation by national/federal self-governing bodies, political decision-makers, and specialized providers. METHODS: Based on the concept of needs, we addressed the normative dimension typically characterized by epidemiological data. Based on existing German health system data resources, an explorative approach was utilized to identify and characterize available databases providing information on the patient group and/or their healthcare. RESULTS: To date, no available database provides information on the healthcare needs of this patient group. As of the reporting year 2017, the diagnosis-related groups (DRG) statistics will provide hospital-specific data on home invasive ventilation interventions, but the data do not provide information on long-term care. Claims data may be a promising source for cross-sectoral evaluation of healthcare needs but feature methodological challenges. These results call for efforts to address limited data eligibility, adopt a broader understanding of healthcare needs, and identify actions needed to evidence informed and needs-oriented healthcare. CONCLUSION: Future approaches on needs-oriented specialized healthcare should close the existing knowledge gap based on reliable data. In addition to normative information, they should consider subjective dimensions on a life course perspective and quantitative and qualitative service performance characteristics across multiple sectors and professions.",0,low,low,0,0,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Modeling the Political Economy and Multidimensional Factors of COVID-19 Cases in Nigeria,"Both the clinical and epidemiological significance attached to COVID-19 cases by a small, but growing literature on coronavirus are not in any way undermined by the relevance of political economy and multidimensional impacts of other factors on the virus, particularly from country specific stance. In light of the stark reality, this study unravels the political economy and multidimensional factors of COVID-19 cases in Nigeria using the daily data spanning 27th of February through 26th of May, 2020. This paper deploys a variety of count data estimators to estimate the effects of political economy and ethno-religious factors on COVID-19 cases in Nigeria. The parameter estimates reveal that the odds of the Hausa ethnic group in human-to-human transmission of the virus, to be in the “Certain Zero” group is relatively less as compared to other ethnic groups in the country. A plausible reason, particularly for the vulnerable group can be attributed, in part, to their low levels of educational attainment as well as their staunch religious belief with respect to the act of soul taking as being the exclusive property of the creator than the created. Thus, addressing ethno-religious concerns together with socioeconomic factors remain the formidable mitigation policy choices to combating the scourge of the global virus of COVID-19.",0,medium,high,0,0,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unconventional effects of long-term storage of microwave-modified chicken egg white lysozyme preparations,"Thermal modification is an effective method that induces significant expansion of the antimicrobial properties and other valuable properties of chicken egg white lysozyme. In our latest research, a new innovative method of enzyme modification was developed, in which microwave radiation was used as an energy source to process liquid lysozyme concentrate (LLC). After modification, high-quality preparations were obtained. However, long-term storage in a concentrated form initiated various processes that caused darkening over time and could also lead to other significant changes to their structure and, consequently, to their functional properties. This necessitated multidirectional research to explain this phenomenon. This paper presents the results of research aimed at assessing the physicochemical changes in the properties of microwave-modified lysozyme in the form of a liquid concentrate after long-term storage under refrigeration conditions. The assessment also considered the conditions under the acidity of the modifying medium and the duration of the microwave modification. The analysis showed that the values of the basic parameters determining the quality and usefulness of the modified enzyme significantly improved during long-term storage of the preparations. The greatest changes were observed in the preparations modified for the longest time and in the most acidic environment (process time 260 s, pH 2.0), the number of oligomers under these conditions increased by 18% after 12 months of holding, and the surface hydrophobicity increased by as much as 31%. In addition, microbiological tests showed that the preparations of microwave-modified lysozyme had an effect on gram-positive bacteria as well as on gram-negative, and this effect was significantly enhanced after 12 months. The results confirm that LLC modification with microwave radiation is a highly efficient method to prepare high-quality and high utility potential lysozyme. Notably, an interesting and important phenomenon was the observation of the unconventional behaviour of the preparations during their long-term storage, which increased their utility potential significantly.",0,high,high,0,1,high,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Impact of Aging in Acute Respiratory Distress Syndrome: A Clinical and Mechanistic Overview,"Acute respiratory distress syndrome (ARDS) is associated with increased morbidity and mortality in the elderly population (≥65 years of age). Additionally, age is widely reported as a risk factor for the development of ARDS. However, the underlying pathophysiological mechanisms behind the increased risk of developing, and increased severity of, ARDS in the elderly population are not fully understood. This is compounded by the significant heterogeneity observed in patients with ARDS. With an aging population worldwide, a better understanding of these mechanisms could facilitate the development of therapies to improve outcomes in this population. In this review, the current clinical evidence of age as a risk factor and prognostic indicator in ARDS and the potential underlying mechanisms that may contribute to these factors are outlined. In addition, research on age-dependent treatment options and biomarkers, as well as future prospects for targeting these underlying mechanisms, are discussed.",0,medium,medium,0,0,high,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical and neurophysiological characterization of muscular weakness in severe COVID-19,"OBJECTIVE: To report clinical and electroneuromyographic (ENMG) characteristics of patients affected by severe COVID-19 infection, evaluated for muscular weakness. MATERIALS AND METHODS: ENMGs performed for evaluation of diffuse weakness in patients who could not be discharged from semi-intensive care COVID unit because of difficulties in ventilation weaning were reviewed. Patients with severe COVID-19 infection who had undergone endotracheal intubation and able to co-operate were considered. ENMG protocol was focused on neurophysiological items that excluded or confirmed critical illness polyneuropathy (CIP), myopathy (CIM), or polyneuromyopathy (CIPM). Standardized clinical evaluation was performed using Medical Research Council (MRC) sum score. RESULTS: Eight patients were included in the study. All presented known risk factors for intensive care unit-acquired weakness (ICU-AW), and none of them had history of underlying neuromuscular disorders. ENMG findings were normal in two patients, while only two patients had an altered MRC sum score (< 48). Neuromuscular involvement was diagnosed in 6/8 patients (75%): 2 had CIP, 1 had possible CIM, 1 had CIPM, while 1 patient, with clinically evident weakness but equivocal ENMG findings, was classified as ICU-AW. Finally, 1 patient was diagnosed with acute demyelinating neuropathy. Patients with neuromuscular involvement were those with longer intubation duration and higher levels of IL-6 at admission. CONCLUSION: Neuromuscular complications are frequent in severe COVID-19 and cannot be excluded by MRC sum scores above 48. Standardized ENMG is helpful in guiding diagnosis when clinical evaluation is not reliable or possible. Elevated IL-6 at admission may be a predictor biomarker of ICU-AW in COVID-19. SUPPLEMENTARY INFORMATION: The online version contains supplementary material available at 10.1007/s10072-021-05110-8.",0,high,high,0,1,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
Bronchopleural Fistula as a Complication in a COVID-19 Patient Managed With Endobronchial Valves,"Bronchopleural fistula (BPF) is associated with high morbidity if left untreated. Although rare, the frequency of BPF in severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is becoming recognized in medical literature. We present a case of a 64-year-old male with BPF with persistent air leak due to SARS-CoV-2 pneumonia treated with Spiration Valve System endobronchial valve (EBV). An EBV was placed in the right middle lobe with successful cessation of air leak. In conclusion, the use of EBVs for BPF with persistent air leaks in SARS-CoV-2 patients who are poor surgical candidates is effective and safe.",0,medium,low,0,1,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
The First Whole Genome Sequence and Characterisation of Avian Nephritis Virus Genotype 3,"Avian nephritis virus (ANV) is classified in the Avastroviridae family with disease associations with nephritis, uneven flock growth and runting stunting syndrome (RSS) in chicken and turkey flocks, and other avian species. The whole genome of ANV genotype 3 (ANV-3) of 6959 nucleotides including the untranslated 5′ and 3′ regions and polyadenylated tail was detected in a metagenomic virome investigation of RSS-affected chicken broiler flocks. This report characterises the ANV-3 genome, identifying partially overlapping open reading frames (ORFs), ORF1a and ORF1b, and an opposing secondary pseudoknot prior to a ribosomal frameshift stemloop structure, with a separate ORF2, whilst observing conserved astrovirus motifs. Phylogenetic analysis of the Avastroviridae whole genome and ORF2 capsid polyprotein classified the first complete whole genome of ANV-3 within Avastroviridae genogroup 2.",0,high,high,0,1,high,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
